_type,_id,_revision,_page.next,vda_id,duomenu_sviezumas,registracijos_nr,statusas,kategorija,rusis,tipas,savininko_tipas,naudotojo_tipas,pagaminimas,pirma_registracija,paskutine_registracija,tsppp_galiojimas,baze,bazes_adresas,geometrija,keleiviu_sk,mkm,oro_sraigtas
datasets/gov/tka/registras/Irasas,e39ab06d-7c8a-4cc7-bdd9-a93fe6160636,abcf8efe-9f6b-4a64-b6cf-a86d9aab19d9,,0010f8ca7c63b43,2025-04-29,LY SAO,Registravimas panaikintas,,,SKRAIDYKLE,Galimai fizinis asmuo,Galimai fizinis asmuo,1988-07-10,1997-05-29,1997-05-29,1999-06-03,ALYTUS,,,0,0,
datasets/gov/tka/registras/Irasas,e66fe564-8bb3-482e-9b45-d66091e60dc8,07a180d3-ff0f-483b-8082-5c5181a7f588,,00114ab313299f6,2025-04-29,LY AYT,Registravimas panaikintas,,Lėktuvas,CESSNA  421B,Juridinis asmuo,Galimai fizinis asmuo,1972-01-01,1994-01-18,1994-01-18,,NĖRA,,,0,3385,
datasets/gov/tka/registras/Irasas,20576dbe-d3f4-4e10-8cb3-e4220ed8f147,0f21661a-a384-4b1b-892d-d7bd75b4049f,,3d45c0cdbd1814b,2026-03-09,LY AXX,Registravimas panaikintas,Apribotasis orlaivis / Restricted Aircraft,Lėktuvas,AN-2,Juridinis asmuo,Galimai fizinis asmuo,1981-12-22,2011-04-05,2011-04-05,,NĖRA,,,0,0,
datasets/gov/tka/registras/Irasas,f3b7346c-beab-4ca4-9b8c-dd85479d3554,7f30e455-8eaa-461c-8901-74c96d45f7f1,,914d2a217d25446,2026-03-09,LY AXX,Registravimas panaikintas,Apribotasis orlaivis / Restricted Aircraft,Lėktuvas,AN-2,Juridinis asmuo,Galimai fizinis asmuo,2011-01-01,2011-04-05,2011-04-05,,NĖRA,,,21,11,
datasets/gov/tka/registras/Irasas,0aa31b56-4bbe-4fd2-8021-c959fbc2651e,5aaaf603-067e-4087-900c-28ca07930419,,05f8965914f18d8,2026-03-09,LY JVD,Registruoti ženklai,,Lėktuvas,JAK-42,Galimai fizinis asmuo,Galimai fizinis asmuo,,,,,NĖRA,,,0,0,
datasets/gov/tka/registras/Irasas,568bac17-a821-46ce-8d23-65707a434651,40cd9a94-7516-4e68-a8ba-aba44866a9ce,,004cdd37f17be0c,2026-03-09,LY BRR,Registruotas,Eksperimentinis-ultralengvasis orlaivis/Experimental-Ultralight Aircraft,Lėktuvas,Aeroprakt A-32,Juridinis asmuo,Galimai fizinis asmuo,2025-03-01,2025-08-05,2025-08-05,2026-08-04,BARYSIAI,,,2,472,
datasets/gov/tka/registras/Irasas,ed1c95ee-ab2f-4dee-a9e1-828a01d478cb,0c0d3565-0111-4a72-83b7-a9699a9f3798,,0055a6d218d63f5,2026-03-09,LY GSC,Registruotas,Sklandytuvas /Glider,Sklandytuvas / Sailplane,K8B,Fizinis asmuo,Galimai fizinis asmuo,1963-01-01,2020-04-17,2020-04-17,2022-03-29,KUPIŠKIO AEROKLUBAS,,,2,620,
datasets/gov/tka/registras/Irasas,6a5cf058-80ff-47ea-8518-e08d889e8ff2,055dba41-c033-41eb-acc9-f1f2459d9cbf,,001587cd09731a9,2026-03-09,LY OCQ,Registruotas,Karšto oro balionas /Hot Air Balloon,Oro balionas,ULTRAMAGIC M-65C,Juridinis asmuo,Galimai fizinis asmuo,2004-01-01,2004-05-31,2014-08-06,2025-07-11,ŠIAULIAI,,,0,638,
datasets/gov/tka/registras/Irasas,cf674451-a937-4c53-a488-9f856d16a446,77ef2d25-b319-4acf-a260-213f9e461e90,,04977b0d14b0e84,2026-03-09,LY HAK,Registravimas panaikintas,,Sraigtasparnis,KA-26,Juridinis asmuo,Galimai fizinis asmuo,1976-12-28,1992-02-04,1992-02-04,2002-05-20,KLAIPĖDOS ORO UOSTAS,,,0,3250,
datasets/gov/tka/registras/Irasas,ee2d1832-0837-422a-a6e2-d7d6a8f16931,64739db0-6b64-4bc8-82c7-9e2a77c2e244,,060087caf6d0feb,2026-03-09,LY KKE,Registruotas,Eksperimentinis-ultralengvasis orlaivis/Experimental-Ultralight Aircraft,Malūnsparnis,Cavalon 915 iS,Juridinis asmuo,Galimai fizinis asmuo,2022-01-01,2022-05-31,2022-05-31,2025-08-22,PANEVĖŽYS,,,2,560,
